time,child_haplo_ID,contig,start,end,parent_haplo_ID
0,1,1,1,3291871,-1
0,2,1,1,3291871,-1
0,3,1,1,3291871,-1
0,4,1,1,3291871,-1
0,5,1,1,3291871,-1
0,6,1,1,3291871,-1
0,7,1,1,3291871,-1
0,8,1,1,3291871,-1
0,9,1,1,3291871,-1
0,10,1,1,3291871,-1
0,11,1,1,3291871,-1
0,12,1,1,3291871,-1
0,13,1,1,3291871,-1
0,14,1,1,3291871,-1
0,15,1,1,3291871,-1
0,16,1,1,3291871,-1
0,17,1,1,3291871,-1
0,18,1,1,3291871,-1
32,19,1,1,3291871,17
43,20,1,1,3291871,19
36,21,1,1,3291871,2
48,22,1,1,3291871,21
37,23,1,1,3291871,4
51,24,1,1,3291871,23
51,25,1,1,3291871,23
43,26,1,1,3291871,12
54,27,1,1,3291871,26
43,28,1,1,3291871,14
55,29,1,1,3291871,28
42,30,1,1,3291871,2
56,31,1,1,3291871,30
35,32,1,1,3291871,7
57,33,1,1,3291871,32
48,34,1,1,3291871,8
60,35,1,1,3291871,34
68,36,1,1,3291871,32
56,37,1,1,3291871,11
69,38,1,1,3291871,37
58,39,1,1,3291871,5
72,40,1,1,3291871,39
59,41,1,1,3291871,18
74,42,1,1,3291871,41
65,43,1,1,3291871,13
78,44,1,1,3291871,43
66,45,1,1,3291871,22
78,46,1,1,3291871,45
67,47,1,1,3291871,16
79,48,1,1,3291871,47
81,49,1,1,3291871,28
70,50,1,1,3291871,9
84,51,1,1,3291871,50
76,52,1,1,3291871,24
87,53,1,1,3291871,52
82,54,1,1,3291871,27
94,55,1,1,3291871,54
81,56,1,1,3291871,3
94,57,1,1,3291871,56
87,58,1,1,3291871,27
100,59,1,1,3291871,58
99,60,1,1,3291871,31
118,61,1,1,3291871,60
104,62,1,1,3291871,40
119,63,1,1,3291871,62
110,64,1,1,3291871,44
123,65,1,1,3291871,64
110,66,1,1,3291871,49
123,67,1,1,3291871,66
125,68,1,1,3291871,64
125,69,1,1,3291871,66
116,70,1,1,3291871,33
129,71,1,1,3291871,70
116,72,1,1,3291871,20
132,73,1,1,3291871,72
120,74,1,1,3291871,6
133,75,1,1,3291871,74
125,76,1,1,3291871,48
136,77,1,1,3291871,76
126,78,1,1,3291871,57
137,79,1,1,3291871,78
139,80,1,1,3291871,78
120,81,1,1,3291871,55
142,82,1,1,3291871,81
124,83,1,1,3291871,10
144,84,1,1,3291871,83
131,85,1,1,3291871,15
148,86,1,1,3291871,85
135,87,1,1,3291871,46
149,88,1,1,3291871,87
151,89,1,1,3291871,87
140,90,1,1,3291871,29
153,91,1,1,3291871,90
140,92,1,1,3291871,36
153,93,1,1,3291871,92
146,94,1,1,3291871,63
157,95,1,1,3291871,94
135,96,1,1,3291871,51
159,97,1,1,3291871,96
148,98,1,1,3291871,38
161,99,1,1,3291871,98
150,100,1,1,1049440,69
150,100,1,1049441,1728322,68
150,100,1,1728323,2808204,69
150,100,1,2808205,3291871,68
162,101,1,1,3291871,100
150,102,1,1,229291,69
150,102,1,229292,343611,68
150,102,1,343612,1351868,69
150,102,1,1351869,2170383,68
150,102,1,2170384,2229645,69
150,102,1,2229646,3291871,68
162,103,1,1,3291871,102
150,104,1,1,1447815,68
150,104,1,1447816,2669123,69
150,104,1,2669124,2995373,68
150,104,1,2995374,3291871,69
162,105,1,1,3291871,104
148,106,1,1,1294947,65
148,106,1,1294948,2810397,67
148,106,1,2810398,3291871,65
163,107,1,1,3291871,106
148,108,1,1,107336,65
148,108,1,107337,1193692,67
148,108,1,1193693,1513335,65
148,108,1,1513336,2453573,67
148,108,1,2453574,3291871,65
163,109,1,1,3291871,108
148,110,1,1,3291871,67
163,111,1,1,3291871,110
143,112,1,1,3291871,61
163,113,1,1,3291871,112
153,114,1,1,3291871,53
169,115,1,1,3291871,114
159,116,1,1,3291871,35
175,117,1,1,3291871,116
163,118,1,1,3291871,51
176,119,1,1,3291871,118
160,120,1,1,3291871,59
178,121,1,1,3291871,120
164,122,1,1,3291871,57
178,123,1,1,3291871,122
170,124,1,1,3291871,42
181,125,1,1,3291871,124
183,126,1,1,3291871,118
173,127,1,1,3291871,75
185,128,1,1,3291871,127
175,129,1,1,3291871,71
188,130,1,1,3291871,129
179,131,1,1,3291871,89
191,132,1,1,3291871,131
193,133,1,1,3291871,129
182,134,1,1,3291871,53
200,135,1,1,3291871,134
190,136,1,1,3291871,73
204,137,1,1,3291871,136
187,138,1,1,15764,101
187,138,1,15765,129668,103
187,138,1,129669,1419226,101
187,138,1,1419227,2413221,103
187,138,1,2413222,3105714,101
187,138,1,3105715,3291871,103
206,139,1,1,3291871,138
187,140,1,1,50612,103
187,140,1,50613,386108,101
187,140,1,386109,1712367,103
187,140,1,1712368,2397548,101
187,140,1,2397549,2872160,103
187,140,1,2872161,3291871,101
206,141,1,1,3291871,140
187,142,1,1,503009,103
187,142,1,503010,760719,101
187,142,1,760720,3291871,103
206,143,1,1,3291871,142
197,144,1,1,3291871,95
210,145,1,1,3291871,144
197,146,1,1,3291871,99
210,147,1,1,3291871,146
201,148,1,1,3291871,88
215,149,1,1,3291871,148
191,150,1,1,3291871,80
217,151,1,1,3291871,150
208,152,1,1,3291871,115
222,153,1,1,3291871,152
210,154,1,1,3291871,126
223,155,1,1,3291871,154
207,156,1,1,3291871,82
223,157,1,1,3291871,156
209,158,1,1,3291871,91
224,159,1,1,3291871,158
210,160,1,1,3291871,97
224,161,1,1,3291871,160
213,162,1,1,3291871,128
230,163,1,1,3291871,162
224,164,1,1,3291871,123
238,165,1,1,3291871,164
225,166,1,1,3291871,132
238,167,1,1,3291871,166
227,168,1,1,3291871,125
240,169,1,1,3291871,168
230,170,1,1,1088111,117
230,170,1,1088112,1172784,133
230,170,1,1172785,1391707,117
230,170,1,1391708,2170344,133
230,170,1,2170345,3291871,117
241,171,1,1,3291871,170
230,172,1,1,3291871,133
241,173,1,1,3291871,172
228,174,1,1,3291871,84
241,175,1,1,3291871,174
233,176,1,1,3291871,113
248,177,1,1,3291871,176
233,178,1,1,108568,113
233,178,1,108569,594514,153
233,178,1,594515,1233912,113
233,178,1,1233913,1258773,153
233,178,1,1258774,2419814,113
233,178,1,2419815,3291871,153
248,179,1,1,3291871,178
233,180,1,1,1679064,113
233,180,1,1679065,2342863,153
233,180,1,2342864,2876550,113
233,180,1,2876551,3291871,153
248,181,1,1,3291871,180
253,182,1,1,3291871,79
265,183,1,1,3291871,182
249,184,1,1,3291871,25
266,185,1,1,3291871,184
249,186,1,1,3291871,130
266,187,1,1,3291871,186
255,188,1,1,3291871,145
267,189,1,1,3291871,188
253,190,1,1,3291871,159
269,191,1,1,3291871,190
275,192,1,1,3291871,190
263,193,1,1,3291871,155
278,194,1,1,3291871,193
268,195,1,1,3291871,151
281,196,1,1,3291871,195
275,197,1,1,3291871,119
286,198,1,1,3291871,197
270,199,1,1,3291871,161
286,200,1,1,3291871,199
272,201,1,1,224847,175
272,201,1,224848,618065,185
272,201,1,618066,1220350,175
272,201,1,1220351,2708488,185
272,201,1,2708489,3291871,175
290,202,1,1,3291871,201
272,203,1,1,504383,175
272,203,1,504384,1809480,185
272,203,1,1809481,1923386,175
272,203,1,1923387,3291871,185
290,204,1,1,3291871,203
272,205,1,1,1802296,175
272,205,1,1802297,2558365,185
272,205,1,2558366,2877466,175
272,205,1,2877467,3291871,185
290,206,1,1,3291871,205
279,207,1,1,3291871,135
293,208,1,1,3291871,207
280,209,1,1,466635,141
280,209,1,466636,956106,139
280,209,1,956107,1737856,141
280,209,1,1737857,2210200,139
280,209,1,2210201,3291871,141
296,210,1,1,3291871,209
280,211,1,1,5196,141
280,211,1,5197,1165327,139
280,211,1,1165328,1649262,141
280,211,1,1649263,2173438,139
280,211,1,2173439,2909478,141
280,211,1,2909479,3291871,139
296,212,1,1,3291871,211
280,213,1,1,1551658,139
280,213,1,1551659,2812411,141
280,213,1,2812412,3291871,139
296,214,1,1,3291871,213
280,215,1,1,2336965,139
280,215,1,2336966,2948797,141
280,215,1,2948798,3291871,139
296,216,1,1,3291871,215
275,217,1,1,3291871,77
299,218,1,1,3291871,217
283,219,1,1,3291871,137
305,220,1,1,3291871,219
292,221,1,1,3291871,163
307,222,1,1,3291871,221
292,223,1,1,3291871,187
307,224,1,1,3291871,223
298,225,1,1,256262,214
298,225,1,256263,2310237,191
298,225,1,2310238,2655960,214
298,225,1,2655961,3267136,191
298,225,1,3267137,3291871,214
309,226,1,1,3291871,225
298,227,1,1,322551,191
298,227,1,322552,715498,214
298,227,1,715499,946453,191
298,227,1,946454,1536055,214
298,227,1,1536056,2515187,191
298,227,1,2515188,3291871,214
309,228,1,1,3291871,227
298,229,1,1,54742,191
298,229,1,54743,934414,214
298,229,1,934415,1228054,191
298,229,1,1228055,1426623,214
298,229,1,1426624,1589381,191
298,229,1,1589382,2307677,214
298,229,1,2307678,2919243,191
298,229,1,2919244,3291871,214
309,230,1,1,3291871,229
298,231,1,1,212572,210
298,231,1,212573,360156,216
298,231,1,360157,554134,210
298,231,1,554135,694169,216
298,231,1,694170,2105872,210
298,231,1,2105873,2357039,216
298,231,1,2357040,3291871,210
309,232,1,1,3291871,231
308,233,1,1,3291871,183
321,234,1,1,3291871,233
307,235,1,1,3291871,169
328,236,1,1,3291871,235